Topic,Presentation Value,Qualification
Zoning Data,"CD-PI — Conditional District, Public & Institutional","Case CD5117 / Z-19-05-006; effective May 31, 2019"
Permitted Uses,"All PI uses except agricultural; residential; cemeteries; minor utilities; broadcast facilities; riding stables; golf/driving range/country club; overnight accommodations; personal/professional services; and light industrial","Existing YMCA is lawful; confirm club/lodge versus physical-fitness-center classification before expansion"
Maximum Building Height,"50 ft next to residential without additional setback; no stated limit next to other districts","One additional foot of setback per foot above 50 ft next to residential; Airport Overlay documentation at 50 ft or taller"
Minimum Setbacks,"Street 15 ft | Side/rear next to R or RM 35 ft | Side/rear next to other districts 20 ft","Exact application depends on surveyed boundary and adjoining zoning; certain pool/court uses require 50 ft from residential zoning"
Maximum Lot Coverage,No maximum specified,"Parking, landscaping, stormwater, buffers, access and other site standards constrain development"
FAR,No numeric FAR maximum specified,Practical development envelope is site-plan driven
Parking Requirements,"Indoor recreation: 1 space per 300 SF | approximately 248 spaces for 74,348 SF","Approximately 275 existing stalls from aerial estimate; verify with current approved plan or survey"
Overlay Districts,Airport Overlay District B,"Airport-authority documentation required for proposed buildings, signs or structures 50 ft or taller"
By-right Development Potential,Not quantifiable from zoning alone,"Parking-only screen is approximately 8,100 SF incremental; not an entitlement and use classification must be confirmed"
Notes,"Outside mapped special flood-hazard areas; Zone X / minimal flood risk","Parcel exceeds 5-acre PI minimum lot area; PI minimum lot width is 150 ft"
